precursor,n_mofs_sharing_precursor,co2_uptake_range,ch4_uptake_range
N1=C[N]N([CH]1)c1ccc(cc1)N(c1ccc(cc1)N1[N]C=N[CH]1)c1ccc(cc1)N1[N]C=N[CH]1.[O-]C(=O)c1ccc(cc1)c1cccc(c1)c1ccc(cc1)C(=O)[O-].[Zn],2,0.03972044199999991,0.008671080599999659
N1=NN=C([N]1)c1cc(C2=NN=N[N]2)c(cc1C1=NN=N[N]1)C1=NN=N[N]1.[C]#N.[Cu],4,0.06319534100000002,0.05900839570000027
N1=NN=C([N]1)c1ccc(cc1)C1=NN=N[N]1.[Fe].[O-]C(=O)C(=O)[O-],3,0.1975517109999998,0.044308180699999866
NC1=NC=NC2=NC=N[C]12.Nc1ncnc2=[N]=CN=c12.[O-]C(=O)c1ccncc1.[Zn],4,0.11243531399999984,1.5588810555000001
NC1=NN=C([N]1)CC1=[N]=C(N=N1)N.[Zn],4,0.09287868899999996,0.03787296710000021
NC1=NN=C([N]1)N.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].[Zn][Zn],2,0.12719498100000004,0.6959320321
NC1=NN=C[N]1.NC1=[N]=CN=N1.[O-]C(=O)C(=O)[O-].[Zn],4,0.150652821,0.5361428624999998
NC1=NN=N[N]1.[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn],2,0.0048955799999998995,0.06428053459999994
NC1=NN=N[N]1.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn],2,2.0514311689999998,6.8341947669
NC1=NN=N[N]1.[O-]C(=O)c1ccncc1.[Zn],2,0.38127753200000014,0.07432844410000028
NC1=NN=N[N]1.[Zn],2,0.014940595999999973,0.17579455179999925
NC1=N[N]C(=N1)N.NC1=[N]=C(N=N1)N.[Co][Co].[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-],2,0.039741100999999945,0.10910610150000011
NC1=N[N]C(=N1)N.[Co][Co].[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-],2,0.018791618000000065,0.10532099409999951
NC1CC(N)CC(C1)N.[Ag],2,0.428752595,0.2285457430000002
NCCN.[Ag][Ag],7,0.047383772000000005,1.1660059343
Nc1cc(cc(c1)C(=O)O)C(=O)[O-].Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Mg][OH2][Mg][OH2][Mg],2,0.5042561300000004,0.09761927969999995
Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1.[Cd],16,0.50728726,0.3390859031
Nn1c(nnc1c1ccncc1)c1ccncc1.[O-]C(=O)c1cc(OCc2cccc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn],2,1.0880253729999998,1.2186000444000005
Nn1c(nnc1c1ccncc1)c1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn],2,0.13937767600000006,1.8349970937000002
O(CC(n1[n-]ccc1)(n1[n-]ccc1)n1[n-]ccc1)Cc1ccc(cc1)COCC(n1[n-]ccc1)(n1[n-]ccc1)n1[n-]ccc1.[Ag],2,0.258419611,1.5777026270000003
O(CCC1=NN=N[N]1)CCC1=N[N]N=N1.[Cu],2,0.023256592999999992,0.019972557400000035
O.[Mg].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],2,1.5234614270000004,0.125611887999999
O1O[K]21OO2.[Co].[O-]C(=O)C(CC(=O)[O-])(CC(=O)[O-])[O],3,0.063446111,1.2423047133
