application,feature_group,model,split_type,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_train_memory_kb_mean,peak_train_memory_kb_std,model_size_kb_mean,model_size_kb_std
ch4_storage,shap_selected,random_forest,scaffold,3,0.8196474724765427,0.04519990025032318,0.822606029727656,0.045251255392085264,0.3825599234988803,0.0542589204247524,0.5201861142847681,0.052842901255966065,0.7956296929657198,0.030346040876365186,0.6430863734849884,0.07708431974067294,3.3093403225919844,0.5933576393969922,2.2067817169039685,0.24375491653653586,1.5662392333333628,0.034258985400120553,5.326828676444122e-05,2.10270589709453e-05,4305.598958333333,403.0200415553452,6177.9921875,312.14826559431924
ch4_storage,shap_selected,xgboost,scaffold,3,0.8148268722198057,0.0408951560026184,0.7407018031799008,0.06469954542247212,0.42084659133751723,0.08282497942375126,0.5324434712992903,0.07136285241733613,0.8067056713291824,0.02529948503149246,0.656431051821147,0.08926852818863296,3.1277498230100362,0.3954720995474546,2.1790477039045952,0.20510530235518212,0.23842950000001414,0.004033671950685956,4.013147615874185e-06,1.2208663087445665e-06,185.525390625,16.487727080220928,329.0572916666667,127.77736001393308
co2_capture,tanimoto_knn_baseline,5nn_tanimoto,scaffold,3,0.6425202712488969,0.07343099701621657,,,,,0.21732057416267944,0.06375600563084036,0.5397168442957179,0.0470991293332651,,,,,,,,,,,,,,
ch4_storage,tanimoto_knn_baseline,5nn_tanimoto,scaffold,3,0.7326317317469723,0.08606200490950955,,,,,0.4695657877476059,0.07208881297668596,0.7409562123378612,0.019495969861145657,,,,,,,,,,,,,,
co2_capture,precursor_only,logistic_regression,random_group_aware,1,0.8,0.0,0.5774647887323944,0.0,0.31906614785992216,0.0,0.41102756892230574,0.0,0.7643625543602655,0.0,0.5000589844521507,0.0,2.696298513419136,0.0,2.2313780693483487,0.0,0.3068975999999566,0.0,7.413531914588678e-06,0.0,25340.271484375,0.0,12.1640625,0.0
co2_capture,precursor_only,random_forest,random_group_aware,1,0.8017021276595745,0.0,0.6578947368421053,0.0,0.19455252918287938,0.0,0.3003003003003003,0.0,0.810648254113578,0.0,0.551992969201263,0.0,3.126143203964216,0.0,2.278190196677335,0.0,1.7445542000000387,0.0,5.0501276595667224e-05,0.0,18102.296875,0.0,10015.384765625,0.0
co2_capture,precursor_only,xgboost,random_group_aware,1,0.8076595744680851,0.0,0.6165413533834586,0.0,0.31906614785992216,0.0,0.4205128205128205,0.0,0.7989094037961055,0.0,0.5536445035724767,0.0,2.8135288835677943,0.0,2.403022536221299,0.0,1.3109714000001986,0.0,3.287795744673782e-05,0.0,6286.86328125,0.0,506.837890625,0.0
co2_capture,descriptor_only,logistic_regression,random_group_aware,1,0.7863829787234042,0.0,0.53,0.0,0.20622568093385213,0.0,0.2969187675070028,0.0,0.7061621016759492,0.0,0.4289566007473848,0.0,2.46183777312182,0.0,1.9036931780454442,0.0,0.13868870000032985,0.0,1.6049361700889346e-06,0.0,1726.1845703125,0.0,1.978515625,0.0
co2_capture,descriptor_only,random_forest,random_group_aware,1,0.8365957446808511,0.0,0.7096774193548387,0.0,0.4280155642023346,0.0,0.5339805825242718,0.0,0.8138229783915295,0.0,0.6289914173447438,0.0,3.6341414746084006,0.0,2.449834663550285,0.0,1.6676892999998927,0.0,4.561259574481308e-05,0.0,4677.462890625,0.0,6009.146484375,0.0
co2_capture,descriptor_only,xgboost,random_group_aware,1,0.828936170212766,0.0,0.6573033707865169,0.0,0.45525291828793774,0.0,0.5379310344827586,0.0,0.807371803022982,0.0,0.6281730012398322,0.0,3.516911104459743,0.0,2.2625861542343397,0.0,0.32472710000001825,0.0,4.626553191167446e-06,0.0,132.279296875,0.0,538.37890625,0.0
co2_capture,precursor_descriptor,logistic_regression,random_group_aware,1,0.8187234042553192,0.0,0.627906976744186,0.0,0.42023346303501946,0.0,0.5034965034965035,0.0,0.7696247976060291,0.0,0.5127836644943394,0.0,3.0870664139146635,0.0,2.215774026905353,0.0,0.6821436999998696,0.0,7.607574468064296e-06,0.0,26907.447265625,0.0,12.986328125,0.0
co2_capture,precursor_descriptor,random_forest,random_group_aware,1,0.8391489361702128,0.0,0.7361111111111112,0.0,0.41245136186770426,0.0,0.5286783042394015,0.0,0.8368641014555411,0.0,0.6385935506932546,0.0,3.47783431441019,0.0,2.4966467908792715,0.0,1.8168792000001304,0.0,4.9261276595798526e-05,0.0,19207.482421875,0.0,12377.0927734375,0.0
co2_capture,precursor_descriptor,xgboost,random_group_aware,1,0.825531914893617,0.0,0.6604938271604939,0.0,0.4163424124513619,0.0,0.5107398568019093,0.0,0.8238494273628172,0.0,0.6268617466224748,0.0,3.5559878945092955,0.0,2.3562104088923124,0.0,2.279715899999701,0.0,7.698646808537578e-05,0.0,6313.6357421875,0.0,503.7109375,0.0
