mof_id,precursor,error_type,likely_cause
2646,C1CN2CCN1CC2.[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-].[Zn][Zn],false_negative,unexplained
2775,CC(=Cc1ccncc1)c1ccncc1.[Co].n1ccc(cc1)C=[C]c1ccncc1,false_negative,unexplained
2790,C(CN1[N]C=N[CH]1)CCn1ncnc1.[Cd],false_negative,unexplained
2811,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccncc1.[Zn][Zn],false_positive,unexplained
2909,C(Cn1cncc1)CCn1cncc1.[Cd],false_negative,unexplained
2928,N#C[C]1C(=C(C(=C1C#N)C#N)C#N)C#N.[C][C]O[C][C][C]O[C][C].[Na],false_negative,unusual_metal
2968,Cl[Cu].[Cu].n1ccc(cc1)C1=NN=N[N]1,false_negative,unexplained
2999,[Al].[O-]C(=O)[C]1[C][C][C]([C][C]1)C(=O)[O-].[O],false_positive,unusual_metal
3002,[Cu][OH]([Cu])[Cu].[O-]C(=O)Cn1cnnc1,false_negative,unexplained
3108,[Ni][OH2][Ni].[O-]C(=O)c1cccc(c1)C(=O)[O-].n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1,false_negative,unexplained
3109,[Ni][OH2][Ni].[O-]C(=O)c1cccc(c1)C(=O)[O-].n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1,false_negative,unexplained
3110,[Ni]O[Ni].[O-]C(=O)c1cccc(c1)C(=O)[O-].n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1,false_negative,unexplained
3111,[Ni][OH2][Ni].[O-]C(=O)c1cccc(c1)C(=O)[O-].n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1,false_negative,unexplained
3164,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][OH][Zn],false_positive,unexplained
3278,[Zn].n1ccc(cc1)c1nnc(s1)c1ccncc1,false_positive,unexplained
3371,C1=N[N]C=N1.[Cu].[N]1C=NN=C1,false_negative,unexplained
3555,[Cd].[O-]C(=O)c1ccc(cc1)O[P]1(Oc2ccc(cc2)C(=O)[O-])[N][P](Oc2ccc(cc2)C(=O)[O-])(Oc2ccc(cc2)C(=O)[O-])[N][P]([N]1)(Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-],false_negative,out_of_domain_size
3926,C1CN2CCN1CC2.[Ni][Ni].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],false_positive,unexplained
3963,[Al].[O-]C(=O)[C]1[C][C][C]([C][C]1)C(=O)[O-].[O],false_positive,unusual_metal
3993,[Cu].c1ccc(cn1)C#Cc1cccc(n1)C#Cc1cccnc1,false_negative,unexplained
4072,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn],false_negative,unexplained
4074,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn],false_negative,unexplained
4243,O=C1[CH]C(=O)NC(=S)N1.[Ni],false_negative,unexplained
4244,O=C1[CH]C(=O)NC(=S)N1.[Mg],false_negative,unexplained
4374,[Cu].[Cu][Cu].[O-]C(=O)c1cc(cc(c1)n1cncc1)C(=O)[O-],false_negative,unexplained
4553,[Cd].[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-],false_negative,unexplained
4595,[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-].[Sr]1[Sr][O]21[Sr][Sr]2.[Sr][O]1([Sr])[Sr][Sr]1,false_negative,unusual_metal
4618,[Al].[O-]C(=O)C1=[C][C]=[C]C(=[C]1)C(=O)[O-].[O],false_positive,unusual_metal
4627,[Ho].[O-]C(=O)[C].[O-]C(=O)c1ccc(cc1)O[P]1(Oc2ccc(cc2)C(=O)[O-])[N][P](Oc2ccc(cc2)C(=O)[O-])(Oc2ccc(cc2)C(=O)[O-])[N][P]([N]1)(Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-],false_negative,unusual_metal
4668,[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1.[Zn],false_negative,unexplained
4960,[Mn].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,false_negative,unexplained
5063,[Cd].[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-],false_negative,unexplained
5072,Cl[Cu][OH]([Cu][OH]([Cu])[Cu])[Cu].Cl[Cu][OH]([Cu][OH]([Cu]Cl)[Cu])[Cu].OC(=O)C1=CC2=NN=N[C]2C=C1.OC(=O)C1=C[C]2C(=NN=N2)C=C1.OC(=O)[C]1C=CC2=NN=NC2=C1.OC(=O)c1ccc2=N[N]N=c2c1.[Cu][OH]([Cu][OH]([Cu])[Cu])[Cu].[O-]C(=O)C1=C[CH]C2=NN=NC2=C1.[O-]C(=O)C1=C[C]2C(=NN=N2)C=C1.[O-]C(=O)[C]1C=CC2=NN=NC2=C1.[O-]C(=O)c1ccc2=N[N]N=c2c1,false_positive,out_of_domain_size
5226,[Cu].[N][N][N].n1ccc(cc1)C1=NN=N[N]1,false_negative,unexplained
5230,[Cu].[N][N][N].n1ccc(cc1)C1=NN=N[N]1,false_negative,unexplained
5307,N1=NC=C([CH]1)c1ccc(cc1)[C]1C=NN=C1.[Fe].[N]1N=CC(=C1)c1ccc(cc1)C1=CN=N[CH]1,false_negative,unexplained
5312,N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-].[Zn],false_positive,unexplained
5365,[Mn].[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-],false_negative,unexplained
